IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9801316,BRIGHT IMABARI,EXPORTAÇÃO,200,63.504,BAGACOS,45.000,6.45,FERTIMPORT,13/07/23
9582453,STAR ASTRID,EXPORTAÇÃO,229,82.158,SOJA,66.000,7,ALPHAMAR,13/07/23
9294276,G BRIGHT,IMPORTAÇÃO,141,19.931,SODA CÁUSTICA,6.282,9.56,ZYON SHIPPING,13/07/23
9380087,JOROPO,IMPORTAÇÃO,183,47.410,GASOLINA,28.000,10,LACHMANN,13/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,13/07/23
9425851,ETERNITY SW,EXPORTAÇÃO,190,58.098,FERRO,50.000,7,LBH BRASIL,13/07/23
9913339,EVER ZENITH,EXPORTAÇÃO,229,82,MILHO,66.000,7.7,CARGONAVE,13/07/23
9706530,ALMA,EXPORTAÇÃO,229,81.947,SOJA,70.000,7.1,FERTIMPORT,13/07/23
9416836,FLUMAR BRASIL,EXPORTAÇÃO,183,51.188,DIESEL,9.300,7,LACHMANN,13/07/23
9657038,NAVE JUPITER,IMPORTAÇÃO,183,49.999,DIESEL,45.000,12.3,LACHMANN,13/07/23
9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,183,50.135,GASOLINA,17.778,9.5,WILSON SONS SHIPPING SERVICES LTDA,13/07/23
9489900,SERGIO BUARQUE DE HOLANDA,IMPORTAÇÃO,183,48.573,DIESEL,8.000,12,LACHMANN,13/07/23
9786176,MAERSK CEBU,IMPORTAÇÃO,183,49.919,OLEO.COMBUSTÍVEL,5.400,11,LACHMANN,13/07/23
9603805,STAR LUSTER,IMPORTAÇÃO,204,50.740,MES9,5.400,12.6,ROCHAMAR,16/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,9.8,ROCHAMAR,16/07/23
